danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,duration_ms,time_signature,spotify_song,spotify_album,spotify_artist,billboard_name,billboard_artist,popularity,release_date,explicit,billboard_df_index
0.854,0.602,6,-10.162,0,0.32,0.0689,0.0,0.292,0.592,99.429,audio_features,5JBh5DwVUzSK8Aa7zyySOJ,spotify:track:5JBh5DwVUzSK8Aa7zyySOJ,252520,4,Not Tonight - Remix,Party Time,Lil' Kim,no time,lil kim,15,2018-01-16,False,3780
0.737,0.657,4,-10.962,0,0.0284,0.0863,0.0339,0.0953,0.76,131.022,audio_features,6YtkOhiHmf46w1noltVnF2,spotify:track:6YtkOhiHmf46w1noltVnF2,280693,4,Naked Eye,Fever In Fever Out,Luscious Jackson,naked eye,luscious jackson,51,1996-01-01,False,3781
0.927,0.721,8,-12.561,1,0.0908,0.422,4.36e-05,0.0422,0.965,103.018,audio_features,4oaj36KzXRgDg4McgcTsZK,spotify:track:4oaj36KzXRgDg4McgcTsZK,249382,4,Macarena,Fiesta Macarena,Los Del Rio,macarena,los del rio,60,1996-04-29,False,3782
0.762,0.403,11,-10.423,0,0.158,0.0396,0.0113,0.256,0.346,80.476,audio_features,0tNuJpBgtE65diL6Q8Q7fI,spotify:track:0tNuJpBgtE65diL6Q8Q7fI,226133,4,On & On,Baduizm,Erykah Badu,on  on,erykah badu,70,1997-01-01,True,3783
0.757,0.446,8,-9.509,0,0.0477,0.544,0.0,0.0462,0.898,81.723,audio_features,6MdpCG4llGuDGwGfZS3yDC,spotify:track:6MdpCG4llGuDGwGfZS3yDC,301067,4,Don't Wanna Be a Player,90s R&B,Joe,dont wanna be a player,joe,17,2014-09-26,False,3784
0.859,0.691,10,-9.224,0,0.209,0.0278,1.96e-05,0.198,0.78,91.454,audio_features,52MJZwo0UGqgFitqv8YFVK,spotify:track:52MJZwo0UGqgFitqv8YFVK,246733,4,I Shot The Sheriff,Take A Look Over Your Shoulder (Reality),Warren G,i shot the sheriff,warren g,37,1997-03-25,True,3785
0.771,0.625,1,-4.481,1,0.0312,0.00397,0.0013,0.271,0.701,94.756,audio_features,0jSUkwLEobi6xAyKTGWAvf,spotify:track:0jSUkwLEobi6xAyKTGWAvf,254067,4,You Should Be Mine (Don't Waste Your Time),1989-2002 From There To Here,Brian McKnight,you should be mine dont waste your time,brian mcknight,14,2002-11-05,False,3786
0.323,0.149,11,-13.906,1,0.0339,0.898,4.2e-06,0.099,0.0788,105.033,audio_features,0bLRXQaWzmSXRXPmP6JnEF,spotify:track:0bLRXQaWzmSXRXPmP6JnEF,335733,5,Don't Cry for Me Argentina,Evita: The Complete Motion Picture Music Soundtrack,Madonna,dont cry for me argentina,madonna,55,1996-10-25,False,3787
0.679,0.59,7,-10.335,0,0.104,0.0148,0.0,0.0685,0.848,173.914,audio_features,7fCLfDo3os5Q7UDPQV5fMZ,spotify:track:7fCLfDo3os5Q7UDPQV5fMZ,246707,4,Someone (feat. Puff Daddy),Best Of SWV,SWV,someone,swv,17,2001-11-06,False,3788
0.363,0.435,2,-8.141,1,0.0307,0.399,0.0,0.219,0.148,125.892,audio_features,3hS5RCp5EE1wUiiE7f8dM1,spotify:track:3hS5RCp5EE1wUiiE7f8dM1,280640,4,Go the Distance,All That Matters,Michael Bolton,go the distance,michael bolton,58,1997-11-04,False,3789
0.671,0.862,5,-11.367,1,0.0351,0.000889,0.7,0.167,0.855,133.117,audio_features,13vDH7LlES2hajU7yR07Mz,spotify:track:13vDH7LlES2hajU7yR07Mz,238707,3,One More Time,One More Time,Real McCoy,one more time,real mccoy,42,1997-03-25,False,3790
0.735,0.419,1,-9.221,0,0.0467,0.0952,0.0,0.0918,0.577,108.052,audio_features,73VfOqjmCXD7Mf6odqswjR,spotify:track:73VfOqjmCXD7Mf6odqswjR,294893,4,Butta Love,Platinum & Gold Collection,Next,butta love,next,25,2004-04-30,True,3791
0.832,0.838,1,-5.414,0,0.0421,0.0791,0.0,0.152,0.965,100.021,audio_features,5fRvePkRGdpn2nKacG7I6d,spotify:track:5fRvePkRGdpn2nKacG7I6d,218733,4,Coco Jamboo,We See The Same Sun,Mr. President,coco jambo,mr president,74,1996-05-17,False,3792
0.614,0.513,11,-9.759,1,0.0465,0.394,0.0,0.248,0.824,175.853,audio_features,2vR0Im2wpkDFa6Xgiac7oE,spotify:track:2vR0Im2wpkDFa6Xgiac7oE,260667,4,Twisted,Throwback R&B,Keith Sweat,twisted,keith sweat,2,2023-04-28,False,3793
0.812,0.879,1,-10.998,0,0.0397,0.0167,0.224,0.366,0.962,129.991,audio_features,5ZrDlcxIDZyjOzHdYW1ydr,spotify:track:5ZrDlcxIDZyjOzHdYW1ydr,197960,4,Barbie Girl,Aquarium (Special Edition),Aqua,barbie girl,aqua,77,1997-01-01,False,3794
0.45,0.525,3,-6.893,1,0.0271,0.522,2.43e-06,0.254,0.371,187.525,audio_features,2Qdnk7tbc4onLOIPd1eSNE,spotify:track:2Qdnk7tbc4onLOIPd1eSNE,232200,3,When You're Gone,Stars: The Best Of The Cranberries 1992-2002,The Cranberries,when youre gone,the cranberries,65,2002-09-16,False,3795
0.703,0.903,7,-7.176,1,0.239,0.16,0.0,0.372,0.521,102.871,audio_features,4Y312PyFlaUlszXpjvK8je,spotify:track:4Y312PyFlaUlszXpjvK8je,290160,4,Let Me Clear My Throat - Old School Reunion Remix '96,Let Me Clear My Throat,DJ Kool,let me clear my throat,dj kool,50,1996-01-01,False,3796
0.855,0.624,10,-6.779,0,0.0411,0.0163,9.93e-06,0.107,0.859,92.126,audio_features,4uL0VKNQpKnm41RgBDb36Q,spotify:track:4uL0VKNQpKnm41RgBDb36Q,246160,4,You're Making Me High,Ultimate Toni Braxton,Toni Braxton,youre makin me high,toni braxton,29,2003-10-27,False,3798
0.357,0.161,10,-14.789,1,0.0436,0.927,3.83e-05,0.146,0.267,88.724,audio_features,78JPL7uIfs6Imm57r1QETk,spotify:track:78JPL7uIfs6Imm57r1QETk,170840,4,You Must Love Me,Evita: The Complete Motion Picture Music Soundtrack,Madonna,you must love me,madonna,41,1996-10-25,False,3799
0.643,0.718,8,-2.997,0,0.0609,0.00998,0.0,0.0751,0.704,123.117,audio_features,7DfMOb2hktimamIkNACiTT,spotify:track:7DfMOb2hktimamIkNACiTT,272093,4,Just let it go,Viva The World !,Naoto Inti Raymi,let it go,ray j,12,2014-10-01,False,3800
0.847,0.402,7,-9.952,1,0.0641,0.0118,0.0,0.283,0.752,99.693,audio_features,5IFCyWplye09HytIP80RCF,spotify:track:5IFCyWplye09HytIP80RCF,259440,4,Too Close,Rated Next,Next,too close,next,68,1997-09-30,True,3801
0.659,0.726,1,-6.013,0,0.0415,0.308,1.31e-05,0.139,0.709,93.044,audio_features,7wrbOpfMufekxm6R7fhXGU,spotify:track:7wrbOpfMufekxm6R7fhXGU,239684,4,The Boy Is Mine,Soft RnB,Brandy,the boy is mine,brandy,0,2023-04-28,False,3802
0.558,0.54,3,-7.2,1,0.0305,0.501,0.0,0.252,0.654,133.774,audio_features,0VPDUUBszYXCNNEkSSttOR,spotify:track:0VPDUUBszYXCNNEkSSttOR,212560,4,You're Still The One,Bröllop,Shania Twain,youre still the one,shania twain,1,2023-05-03,False,3803
0.555,0.698,0,-8.874,1,0.0287,0.403,0.0,0.0851,0.816,168.12,audio_features,013AWvizllIUEC2FOBzOnh,spotify:track:013AWvizllIUEC2FOBzOnh,277267,4,Truly Madly Deeply,Savage Garden,Savage Garden,truly madly deeply,savage garden,76,1997-03-04,False,3804
0.577,0.462,2,-7.989,1,0.0279,0.128,0.0,0.0822,0.258,128.303,audio_features,7BD50ATrF3Vab5FQy7vtK8,spotify:track:7BD50ATrF3Vab5FQy7vtK8,266973,4,How Do I Live,Greatest Hits,LeAnn Rimes,how do i live,leann rimes,70,2003-11-18,False,3805
0.873,0.593,7,-8.942,1,0.103,0.078,0.00697,0.104,0.495,123.091,audio_features,5CogWG8vxbXKyvBk0sfD6K,spotify:track:5CogWG8vxbXKyvBk0sfD6K,301200,4,Together Again,Brunch & Beats,Janet Jackson,together again,janet jackson,0,2023-05-05,False,3806
0.634,0.512,1,-8.651,1,0.0285,0.114,3.91e-06,0.0588,0.193,128.019,audio_features,1ZgbFJGof5jXDXRzXdqDxl,spotify:track:1ZgbFJGof5jXDXRzXdqDxl,331240,4,All My Life,Mientras duermes plácidamente,K-Ci & JoJo,all my life,k ci and jojo,0,2023-04-26,False,3807
0.45,0.311,4,-8.175,1,0.0314,0.977,0.00713,0.167,0.367,125.648,audio_features,3DUcaEvPO72PijivCjtZcU,spotify:track:3DUcaEvPO72PijivCjtZcU,250107,4,Candle In The Wind 1997,Candle In The Wind 1997 / Something About ...,Elton John,candle in the wind 1997,elton john,58,1997-01-01,False,3808
0.569,0.573,1,-7.687,1,0.172,0.0114,0.0,0.107,0.798,132.954,audio_features,31YudjfCQCpRYDeDMskWGh,spotify:track:31YudjfCQCpRYDeDMskWGh,192065,4,Nice & Slow - Ryan James Carr Remake,My Way (25th Anniversary Edition),Usher,nice  slow,usher,51,2022-09-16,False,3809
0.41,0.468,11,-8.177,1,0.0553,0.298,1.19e-05,0.0426,0.475,177.508,audio_features,5MDQNJ7SZTytJwCbWKqJDL,spotify:track:5MDQNJ7SZTytJwCbWKqJDL,320027,4,I Don't Want to Wait,This Fire,Paula Cole,i dont want to wait,paula cole,65,1996,False,3810
0.561,0.593,5,-9.362,1,0.0264,0.00327,0.00144,0.0967,0.574,80.282,audio_features,4FS5iHna79VYSqkLgsGqnd,spotify:track:4FS5iHna79VYSqkLgsGqnd,253413,4,How's It Going to Be,Alternative Throwback Essentials,Third Eye Blind,hows it going to be,third eye blind,0,2023-05-05,False,3811
0.694,0.368,8,-7.264,1,0.0655,0.19,0.0,0.14,0.465,60.117,audio_features,2pdzseh7ELZCKlXXXX4anK,spotify:track:2pdzseh7ELZCKlXXXX4anK,247040,4,"No, No, No, Pt. 1",Destiny's Child,Destiny's Child,no no no,destinys child,40,1998-02-17,False,3812
0.428,0.276,4,-11.729,1,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,audio_features,33LC84JgLvK2KuW43MfaNq,spotify:track:33LC84JgLvK2KuW43MfaNq,280000,1,"My Heart Will Go On - Love Theme from ""Titanic""",Let's Talk About Love,Céline Dion,my heart will go on,celine dion,76,1997-11-14,False,3813
0.881,0.874,6,-4.505,1,0.139,0.0175,1.14e-06,0.154,0.858,107.891,audio_features,0weAUscowxeqDtpCgtbpgp,spotify:track:0weAUscowxeqDtpCgtbpgp,227933,4,Gettin' Jiggy Wit It,Big Willie Style,Will Smith,gettin jiggy wit it,will smith,73,1997-10-03,False,3814
0.761,0.639,5,-7.577,0,0.0539,0.0359,0.0,0.0945,0.922,164.088,audio_features,47TqCCnEliDp8NRDyIQoQq,spotify:track:47TqCCnEliDp8NRDyIQoQq,219120,4,You Make Me Wanna...,My Way,Usher,you make me wanna,usher,69,1997-09-16,False,3815
0.782,0.586,7,-8.629,0,0.0974,0.0209,0.0,0.592,0.841,89.989,audio_features,0zTOpNvTe2OwV1xA83GFoy,spotify:track:0zTOpNvTe2OwV1xA83GFoy,218560,4,My Way - JD's Remix w/ JD,Live,Usher,my way,usher,24,1999-03-23,False,3816
0.607,0.317,7,-10.244,0,0.029,0.732,4.53e-05,0.086,0.111,108.122,audio_features,3RSpK5Y0y5tl25qvssrwJ6,spotify:track:3RSpK5Y0y5tl25qvssrwJ6,230933,4,My All,Butterfly,Mariah Carey,my all,mariah carey,68,1997-09-16,False,3817
0.671,0.766,1,-9.218,0,0.0634,0.139,0.0,0.26,0.906,152.088,audio_features,5rWzxloNXvbRPhlC1O2b6T,spotify:track:5rWzxloNXvbRPhlC1O2b6T,235573,4,The First Night,The Boy Is Mine,Monica,the first night,monica,50,1998-07-13,False,3818
0.526,0.37,3,-10.535,1,0.025,0.722,0.0,0.157,0.251,76.002,audio_features,0rl84FuazRHYmK72krdmA1,spotify:track:0rl84FuazRHYmK72krdmA1,244667,4,Adia,Surfacing,Sarah McLachlan,adia,sarah mclachlan,53,1997-08-29,False,3820
0.73,0.698,1,-5.629,0,0.0288,0.0324,0.0,0.0928,0.603,115.033,audio_features,7aOGFnnVDivtRO1PrYhx64,spotify:track:7aOGFnnVDivtRO1PrYhx64,200293,4,Crush,Jennifer Paige,Jennifer Paige,crush,jennifer paige,64,1998,False,3821
0.723,0.809,10,-6.478,0,0.0369,0.0342,4.25e-06,0.147,0.659,108.036,audio_features,1ZxfTBBvm8QzksluzHSv7c,spotify:track:1ZxfTBBvm8QzksluzHSv7c,224547,4,Everybody (Backstreet's Back) - Radio Edit,Coronation Street Party,Backstreet Boys,everybody backstreets back,backstreet boys,7,2023-04-28,False,3822
0.383,0.662,2,-5.162,1,0.0333,0.165,0.0,0.248,0.138,121.154,audio_features,225xvV8r1yKMHErSWivnow,spotify:track:225xvV8r1yKMHErSWivnow,298760,4,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Armageddon - The Album,Aerosmith,i dont want to miss a thing,aerosmith,75,1998-06-23,False,3823
0.77,0.58,4,-8.305,0,0.0701,0.0206,1.44e-06,0.0834,0.684,119.981,audio_features,46HSp0BWFe5E3w10059b9W,spotify:track:46HSp0BWFe5E3w10059b9W,326600,4,Body Bumpin' (Yippie-Yi-Yo) - R&B Remix,"All Work, No Play",Public Announcement,body bumpin yippie yi yo,public announcement,13,1998-03-24,False,3824
0.47,0.779,11,-6.624,1,0.0424,0.161,0.0,0.142,0.749,186.784,audio_features,26dyMa7Zo3H8mkIJAk8TAx,spotify:track:26dyMa7Zo3H8mkIJAk8TAx,194867,4,This Kiss,country summer 2023,Faith Hill,this kiss,faith hill,0,2023-05-06,False,3825
0.607,0.497,11,-7.017,1,0.0374,0.38,0.0,0.0681,0.407,125.951,audio_features,4oJEy4qDPwDk5ac26yEMeL,spotify:track:4oJEy4qDPwDk5ac26yEMeL,345133,3,I Don't Ever Want to See You Again,Uncle Sam,Uncle Sam,i dont ever want to see you again,uncle sam,50,1997-04-29,False,3826
0.59,0.538,1,-5.949,1,0.247,0.0272,0.0,0.17,0.578,121.929,audio_features,3wQUwUopne0hVBDXa44Bki,spotify:track:3wQUwUopne0hVBDXa44Bki,294600,4,Let's Ride,Best Of Montell Jordan,Montell Jordan,lets ride,montell jordan,43,2015-09-25,False,3827
0.664,0.558,2,-9.159,1,0.0257,0.238,0.0,0.106,0.64,80.556,audio_features,0BM8gRmHJF0fSX2OFnx1u9,spotify:track:0BM8gRmHJF0fSX2OFnx1u9,173493,4,Sex & Candy,Fall Vibes 2023,Marcy Playground,sex and candy,marcy playground,0,2023-04-26,False,3828
0.546,0.643,6,-4.069,0,0.0437,0.0745,0.0,0.213,0.704,181.838,audio_features,6SluaPiV04KOaRTOIScoff,spotify:track:6SluaPiV04KOaRTOIScoff,229227,4,Show Me Love - Radio Version,Robyn Is Here,Robyn,show me love,robyn,60,1995-10-13,False,3829
0.569,0.443,7,-8.402,1,0.0327,0.461,0.0,0.133,0.15,75.038,audio_features,6m4yXCjOXVKckLX8mrkKiM,spotify:track:6m4yXCjOXVKckLX8mrkKiM,301907,4,A Song For Mama,Mother’s Day Flavours,Boyz II Men,a song for mama,boyz ii men,1,2023-05-01,False,3830
0.838,0.72,10,-6.593,0,0.384,0.0312,1.11e-05,0.422,0.845,93.76,audio_features,6hxn98poTu1O4YZfafvC18,spotify:track:6hxn98poTu1O4YZfafvC18,242947,4,What You Want (feat. Total),Harlem World,Mase,what you want,mase,67,1997,True,3831
0.706,0.633,1,-9.584,1,0.0419,0.267,0.0192,0.175,0.375,110.005,audio_features,6lknMmJZALXxx7emwwZWLX,spotify:track:6lknMmJZALXxx7emwwZWLX,120157,4,Frozen,Frozen,Madonna,frozen,madonna,72,2021-12-03,False,3832
0.811,0.518,11,-8.344,0,0.279,0.0726,0.0,0.126,0.809,98.031,audio_features,5Y0owZ8NszGudca8OAXQHu,spotify:track:5Y0owZ8NszGudca8OAXQHu,221933,4,Gone Till November (feat. R.Kelly & Canibus) - The Makin' Runs Remix,Greatest Hits,Wyclef Jean,gone till november,wyclef jean,36,1997,False,3833
0.708,0.484,3,-5.766,0,0.0409,0.192,0.0,0.0653,0.314,119.746,audio_features,0ZWyPcjHsy6C3RrqPNAx9k,spotify:track:0ZWyPcjHsy6C3RrqPNAx9k,252187,4,My Body,The Best of Keith Sweat: Make You Sweat,LSG,my body,lsg,32,2004-01-13,False,3834
0.605,0.881,11,-7.244,0,0.0841,0.118,0.0,0.364,0.614,103.827,audio_features,6NU9OV3YbnnFuqICTZqZTP,spotify:track:6NU9OV3YbnnFuqICTZqZTP,279227,4,Tubthumping,Himnos para cantar a grito herido,Chumbawamba,tubthumping,chumbawamba,0,2023-05-05,False,3835
0.577,0.622,1,-7.493,1,0.525,0.0816,0.0,0.123,0.671,193.285,audio_features,6dLujFTBvLRnr8zPMMVUJg,spotify:track:6dLujFTBvLRnr8zPMMVUJg,284800,4,Déjà Vu (Uptown Baby),"Hip Hop 100 Hits - Urban rap & R n B anthems inc. Jay Z, A$ap Rocky, Wu-Tang Clan & Nas",Lord Tariq,deja vu uptown baby,lord tariq and peter gunz,48,2019-04-19,True,3836
0.751,0.939,8,-3.305,0,0.0466,0.0521,0.00056,0.477,0.905,112.041,audio_features,221LRlPHPuevgE1tuUlof9,spotify:track:221LRlPHPuevgE1tuUlof9,200440,4,I Want You Back - Radio Edit,'N Sync UK Version,*NSYNC,i want you back,n sync,64,1997,False,3837
0.854,0.827,5,-6.424,1,0.0335,0.0636,0.0,0.123,0.961,104.001,audio_features,40zp4lswjHlH7t2eByjg7z,spotify:track:40zp4lswjHlH7t2eByjg7z,249600,4,When the Lights Go Out - Radio Edit,5ive,Five,when the lights go out,five,47,1998-06-09,False,3838
0.699,0.388,6,-10.722,1,0.0531,0.588,1.98e-06,0.0658,0.566,125.858,audio_features,0b5w1gamS9f239Sms9guAB,spotify:track:0b5w1gamS9f239Sms9guAB,274667,4,They Don't Know,COOL RELAX,Jon B.,they dont know,jon b,63,1997-04-21,False,3839
0.711,0.729,6,-5.432,0,0.49,0.00513,0.0,0.0615,0.488,169.845,audio_features,28JpsyZlA4ochxwxMMJGWt,spotify:track:28JpsyZlA4ochxwxMMJGWt,302507,4,Make 'Em Say Uhh - Edit,Best Of Master P,Master P,make em say uhh,master p,27,2005-01-01,False,3840
0.739,0.541,1,-5.485,1,0.0311,0.559,0.0,0.0492,0.31,134.196,audio_features,6eXf00bQ7LOCr8hFRvzBUt,spotify:track:6eXf00bQ7LOCr8hFRvzBUt,387573,4,Never Ever,Some 90s Hits,All Saints,never ever,all saints,8,2023-04-28,False,3842
0.774,0.496,7,-8.144,0,0.0498,0.186,0.0,0.542,0.452,125.137,audio_features,4FTq81I0X4J6y9X06GcZIN,spotify:track:4FTq81I0X4J6y9X06GcZIN,317560,4,I Get Lonely,The Velvet Rope,Janet Jackson,i get lonely,janet jackson,58,1997-10-07,False,3843
0.826,0.64,1,-9.778,1,0.236,0.205,0.0,0.0968,0.533,105.144,audio_features,4bOtOBb9dorgMCvkUMI5by,spotify:track:4bOtOBb9dorgMCvkUMI5by,204733,4,Feel so Good,Party Hip Hop,Mase,feel so good,mase,0,2023-05-05,False,3844
0.653,0.444,0,-8.397,1,0.0667,0.24,0.0,0.0895,0.276,148.011,audio_features,1X3gbMGL7fJXwmZq1iHcEh,spotify:track:1X3gbMGL7fJXwmZq1iHcEh,267493,4,Dimelo - Say It,Voices Of Theory,Voices of Theory,say it,voices of theory,25,1998,False,3845
0.455,0.682,9,-6.996,1,0.041,0.00142,4.96e-05,0.162,0.283,177.997,audio_features,4wtHbIS26FOtpjMkaQQ8Zk,spotify:track:4wtHbIS26FOtpjMkaQQ8Zk,270160,4,Kiss The Rain,"Growing, Pains",Billie Myers,kiss the rain,billie myers,56,1997-01-01,False,3846
0.858,0.874,0,-3.426,1,0.226,0.000611,0.0,0.163,0.426,94.689,audio_features,10rQNMmguQcxUq8Njc1gh5,spotify:track:10rQNMmguQcxUq8Njc1gh5,250776,4,Romeo & Juliet Remix,Romeo & Juliet Remix,Sylk E Fyne,romeo and juliet,sylk e fyne,8,2022-10-14,True,3848
0.812,0.5,2,-6.842,1,0.084,0.209,0.0,0.174,0.521,137.041,audio_features,2EUISkKeMth8X7ku67FViK,spotify:track:2EUISkKeMth8X7ku67FViK,264933,4,It's All About Me,Mya (Deluxe),Mýa,its all about me,mya,17,2023-04-28,True,3849
0.437,0.723,1,-7.013,1,0.0471,0.0884,3.91e-05,0.113,0.344,139.765,audio_features,6ZIuoDs3i1KjKurJf9miSs,spotify:track:6ZIuoDs3i1KjKurJf9miSs,251293,4,I Will Come To You,Middle Of Nowhere,Hanson,i will come to you,hanson,54,1997-01-01,False,3850
0.702,0.898,9,-6.003,1,0.0373,0.00854,0.000154,0.0917,0.731,112.846,audio_features,5N1FkDGMTlQ878ZVr4Vz02,spotify:track:5N1FkDGMTlQ878ZVr4Vz02,169760,4,One Week,90's Super Hits,Barenaked Ladies,one week,barenaked ladies,2,2023-05-05,False,3851
0.557,0.865,9,-6.075,0,0.139,0.00323,0.0,0.106,0.501,139.382,audio_features,2IObe2lNB04HPbFfsSQ89f,spotify:track:2IObe2lNB04HPbFfsSQ89f,249213,4,Swing My Way,Swing My Way,K.P. & Envyi,swing my way,k p and envyi,52,1997-10-27,False,3852
0.657,0.456,0,-8.917,1,0.0345,0.311,0.0,0.0922,0.182,115.4,audio_features,3ry3inPnEynB5sfaN9EHBG,spotify:track:3ry3inPnEynB5sfaN9EHBG,260427,4,The Arms of the One Who Loves You,Traces Of My Lipstick,Xscape,the arms of the one who loves you,xscape,34,1998-05-01,False,3853
0.768,0.453,2,-6.081,0,0.0503,0.0105,0.0,0.602,0.73,93.026,audio_features,3Qxj80sm1VNWweDVzoDzy1,spotify:track:3Qxj80sm1VNWweDVzoDzy1,272400,4,My Love Is the Shhh! - Remix,This Time It's Personal,Somethin' For The People,my love is the shhh,somethin for the people,22,1997-09-12,False,3854
0.817,0.741,6,-3.908,1,0.109,0.0835,6.78e-05,0.0736,0.772,96.785,audio_features,4xmyjTYZnFhakJr47jqpix,spotify:track:4xmyjTYZnFhakJr47jqpix,262040,4,"Daydreamin', Pt. II",The Legacy of Rn'B Party,Tatyana Ali,daydreamin,tatyana ali,14,2015-07-17,False,3855
0.257,0.41,3,-14.323,0,0.0408,0.0324,0.00271,0.182,0.265,84.689,audio_features,5BHUR9utHa364xGMdITith,spotify:track:5BHUR9utHa364xGMdITith,296000,3,We're Not Making Love No More - Live,"Barely Legal, Vol.6",Dru Hill,were not making love no more,dru hill,17,2015-09-08,True,3856
0.632,0.894,7,-5.211,1,0.0317,0.00637,0.0,0.328,0.718,102.038,audio_features,3VWkm7F54JsduxThZF8Sgj,spotify:track:3VWkm7F54JsduxThZF8Sgj,268640,4,Semi-charmed Life,Best Songs: The 90s,Third Eye Blind,semi charmed life,third eye blind,1,2023-04-26,False,3857
0.729,0.714,10,-7.242,1,0.0299,0.283,9.26e-05,0.214,0.696,110.17,audio_features,1UFkvbNxMLcsTMoKzb0BWM,spotify:track:1UFkvbNxMLcsTMoKzb0BWM,220653,4,I Do,The Very Best Of Lisa Loeb,Lisa Loeb,i do,lisa loeb,18,2006-01-24,False,3858
0.743,0.516,11,-8.27,0,0.397,0.028,1.89e-05,0.273,0.614,188.247,audio_features,2ivQpxTyLHqirBwsZz084U,spotify:track:2ivQpxTyLHqirBwsZz084U,255160,4,Lookin' at Me (feat. Puff Daddy),Lookin' at Me,Mase,lookin at me,mase,17,1998,True,3859
0.487,0.271,10,-11.566,1,0.0283,0.618,0.0,0.16,0.194,80.126,audio_features,5es9FeUsKa8P8bB5iuN2co,spotify:track:5es9FeUsKa8P8bB5iuN2co,245467,4,Looking Through Your Eyes - from the motion picture Quest For Camelot,Sittin' On Top Of The World,LeAnn Rimes,looking through your eyes,leann rimes,41,1998-05-05,False,3860
0.582,0.665,2,-6.992,1,0.0517,0.123,0.0,0.12,0.444,122.318,audio_features,5pgkdQi8HMQHYrJCB4GLsA,spotify:track:5pgkdQi8HMQHYrJCB4GLsA,218070,4,Lately,Summertime vol 4,Divine,lately,divine,15,1996-04-26,False,3861
0.8,0.825,11,-6.552,0,0.034,0.0559,2.18e-06,0.141,0.903,100.035,audio_features,0Uqs7ilt5kGX9NzFDWTBrP,spotify:track:0Uqs7ilt5kGX9NzFDWTBrP,232667,4,Quit Playing Games (With My Heart),Backstreet Boys,Backstreet Boys,quit playing games with my heart,backstreet boys,70,1996-05-06,False,3862
0.83,0.566,7,-7.542,1,0.151,0.223,0.0,0.0594,0.783,95.582,audio_features,3kVENeV7RMFRLkMTJqmzZu,spotify:track:3kVENeV7RMFRLkMTJqmzZu,275000,4,I Still Love You (feat. Big Punisher) - I'll Always Love You Remix,I Still Love You EP,Next,i still love you,next,37,1997-03-01,False,3863
0.8,0.606,7,-9.236,1,0.0707,0.000239,0.098,0.047,0.791,131.685,audio_features,3MEvjbF03N94QfbL6wj4MG,spotify:track:3MEvjbF03N94QfbL6wj4MG,338227,4,"Time After Time - Lil Jon Remix featuring ""Thrill Da Playa"" of The 69 Boyz",So So Def Bass All-Stars Vol. III,INOJ,time after time,inoj,22,1998-01-01,False,3864
0.75,0.914,10,-5.707,0,0.0704,0.13,2.33e-05,0.392,0.673,99.083,audio_features,7okiYQAeZSOae23iZd9OD3,spotify:track:7okiYQAeZSOae23iZd9OD3,201200,4,Are You Jimmy Ray?,Jimmy Ray,Jimmy Ray,are you jimmy ray,jimmy ray,28,1998,False,3865
0.789,0.92,2,-9.183,1,0.0483,2.26e-05,0.605,0.257,0.488,133.972,audio_features,6TcO1ugrL4H9c0bm9kP5c1,spotify:track:6TcO1ugrL4H9c0bm9kP5c1,359029,4,Cruel Summer - Dub,Beautiful Life - The Singles Box,Ace of Base,cruel summer,ace of base,4,2023-04-28,False,3866
0.608,0.704,11,-5.655,0,0.258,0.0447,0.0,0.397,0.818,79.302,audio_features,3qEEoMccf3U90pM47dbQtX,spotify:track:3qEEoMccf3U90pM47dbQtX,256013,4,I Got The Hook-Up!,Best Of Master P,Master P,i got the hook up,master p,33,2005-01-01,True,3867
0.46,0.731,9,-6.846,1,0.387,0.398,0.0,0.664,0.681,183.41,audio_features,2D0u2WltVgKMTjbZgILub3,spotify:track:2D0u2WltVgKMTjbZgILub3,296267,4,Victory,Workout Rap,Puff Daddy,victory,puff daddy,30,2022-09-30,True,3868
0.333,0.631,2,-4.992,1,0.0461,0.484,0.0,0.332,0.342,80.14,audio_features,1RQnYh2xw2BPpnzQFbO5r5,spotify:track:1RQnYh2xw2BPpnzQFbO5r5,271933,4,Too Much,Spiceworld,Spice Girls,too much,spice girls,58,1997-01-01,False,3869
0.818,0.653,1,-8.396,1,0.204,0.0335,5.46e-06,0.22,0.533,99.931,audio_features,31bf9SEOppLU6lQ85d8om6,spotify:track:31bf9SEOppLU6lQ85d8om6,261133,4,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),Ghetto Supastar,Pras,ghetto supastar that is what you are,pras,69,1998-10-03,False,3870
0.729,0.434,3,-9.111,0,0.079,0.0473,1.23e-05,0.314,0.743,94.411,audio_features,60NvAO9lx0KmBNAVHIlWN6,spotify:track:60NvAO9lx0KmBNAVHIlWN6,243360,4,How Deep Is Your Love,Enter The Dru,Dru Hill,how deep is your love,dru hill,61,1998-01-01,True,3871
