danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,duration_ms,time_signature,spotify_song,spotify_album,spotify_artist,billboard_name,billboard_artist,popularity,release_date,explicit,billboard_df_index
0.471,0.19,7,-16.046,1,0.028,0.77,0.00385,0.129,0.305,72.764,audio_features,0Tjdbd83LEAWrA0atsXMDJ,spotify:track:0Tjdbd83LEAWrA0atsXMDJ,146733,4,Let It Be Me,Best Of The Everly Brothers - Rare Solo Classics,The Everly Brothers,let it be me,the everly brothers,59,1991-05-13,False,29
0.606,0.6,7,-6.991,0,0.178,0.629,0.0127,0.0634,0.948,144.968,audio_features,36PSJimHSJ6mfkHRcJlcmU,spotify:track:36PSJimHSJ6mfkHRcJlcmU,131867,4,Good Timing,"I Love Them Both, Vol. 1",Jimmy Jones,good timin,jimmy jones,13,2015-09-17,False,30
0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,audio_features,3KzgdYUlqV6TOG7JCmx2Wg,spotify:track:3KzgdYUlqV6TOG7JCmx2Wg,172480,4,Beyond the Sea,That's All,Bobby Darin,beyond the sea,bobby darin,70,1959,False,31
0.609,0.511,10,-12.053,1,0.0311,0.158,0.000285,0.13,0.938,147.035,audio_features,7DriMr6IPaQLOAb7P8riyR,spotify:track:7DriMr6IPaQLOAb7P8riyR,122707,4,"Go, Jimmy Go","Go, Jimmy Go / Venus in Blue Jeans",Jimmy Clanton,go jimmy go,jimmy clanton,22,1963-02-09,False,32
0.284,0.498,0,-5.534,0,0.0296,0.918,0.00097,0.361,0.327,99.075,audio_features,0GAXsJkYFTXhw6Rs3QWFBq,spotify:track:0GAXsJkYFTXhw6Rs3QWFBq,169653,4,Night,20 Greatest Hits,Jackie Wilson,night,jackie wilson,13,2002,False,33
0.465,0.276,2,-13.184,1,0.0242,0.809,0.000272,0.214,0.233,82.613,audio_features,51jyAgrsTNvOyZPW949qZR,spotify:track:51jyAgrsTNvOyZPW949qZR,161733,4,Burning Bridges,Lost Hits Of The 60's (All Original Artists & Versions),Jack Scott,burning bridges,jack scott,18,2010-01-01,False,34
0.511,0.524,1,-14.652,1,0.0395,0.875,0.0,0.122,0.284,127.444,audio_features,0QxwQkCU0CjNU86C85wmOz,spotify:track:0QxwQkCU0CjNU86C85wmOz,129106,4,The Big Hurt,The Big Hurt!,Toni Fisher,the big hurt,toni fisher,18,2006,False,35
0.701,0.623,9,-10.508,1,0.0332,0.0122,0.743,0.0858,0.848,120.567,audio_features,3Ek534aTTKexQoOp8kMuOa,spotify:track:3Ek534aTTKexQoOp8kMuOa,121480,4,Because They're Young,"$1,000,000 Worth Of Twang",Duane Eddy,because theyre young,duane eddy,18,2006-01-01,False,36
0.665,0.296,5,-14.353,1,0.0427,0.702,0.000172,0.127,0.629,112.792,audio_features,4sZQFezzQDSPJNz8mcJ7pu,spotify:track:4sZQFezzQDSPJNz8mcJ7pu,133067,3,Lonely Blue Boy - Single Version,Gold,Conway Twitty,lonely blue boy,conway twitty,22,2006-01-01,False,37
0.477,0.507,5,-11.802,1,0.0328,0.497,0.0,0.36,0.864,126.419,audio_features,7HDyKTm5e7XV6qszYSSlku,spotify:track:7HDyKTm5e7XV6qszYSSlku,114467,4,Pretty Blue Eyes,The Best Of,Steve Lawrence,pretty blue eyes,steve lawrence,52,1961-01-01,False,38
0.453,0.714,8,-9.083,1,0.0475,0.749,2.02e-06,0.124,0.881,142.737,audio_features,6E7f8UOCFwyhjTgPUJTbxk,spotify:track:6E7f8UOCFwyhjTgPUJTbxk,150000,4,Way Down Yonder in New Orleans,The Boston Cannon!,Freddy Cannon,way down yonder in new orleans,freddy cannon,25,2020-11-27,False,39
0.349,0.264,7,-10.958,1,0.0307,0.875,0.0,0.198,0.317,115.333,audio_features,7iehzxzmUvZZfuKFabo5no,spotify:track:7iehzxzmUvZZfuKFabo5no,171040,4,Paper Roses,Milkshakes & Heartaches - Move Over Darling,Anita Bryant,paper roses,anita bryant,29,2010-10-22,False,40
0.83,0.228,1,-14.219,1,0.0792,0.627,0.00189,0.151,0.0613,107.862,audio_features,32z32gEn14FHJJ2lZP4xLS,spotify:track:32z32gEn14FHJJ2lZP4xLS,185213,4,Mr. Custer,Mister Larry Verne,Larry Verne,mr custer,larry verne,21,2011-11-15,False,41
0.546,0.296,7,-13.997,1,0.0315,0.753,0.00355,0.124,0.263,105.649,audio_features,3i32qvP2ZwGz7VmOA1XzQD,spotify:track:3i32qvP2ZwGz7VmOA1XzQD,192520,3,I Want To Be Wanted - Re-Recorded In Stereo,Greatest Country Songs,Brenda Lee,i want to be wanted,brenda lee,25,2005-03-29,False,42
0.519,0.494,4,-7.854,1,0.0409,0.793,1.56e-05,0.178,0.683,127.716,audio_features,66MsOhuFLxMyhtoJJ6dojp,spotify:track:66MsOhuFLxMyhtoJJ6dojp,142267,4,Mule Skinner Blues,Mule Skinner Blues,The Fendermen,mule skinner blues,the fendermen,13,2015-07-01,False,43
0.627,0.534,6,-10.277,0,0.0605,0.672,5.02e-06,0.0516,0.814,86.822,audio_features,0fsdbBcpHIp9ts9v4JHyDL,spotify:track:0fsdbBcpHIp9ts9v4JHyDL,145009,4,Cradle of Love,All the Hits,Johnny Preston,cradle of love,johnny preston,21,2019-07-09,False,44
0.736,0.708,10,-7.961,1,0.0457,0.71,1.73e-05,0.146,0.95,130.408,audio_features,5n5HQWOwNjNvGWTQ0ODMKx,spotify:track:5n5HQWOwNjNvGWTQ0ODMKx,165933,4,You've Got What It Takes,Greatest Hits,Marv Johnson,you got what it takes,marv johnson,10,2009-08-04,False,45
0.557,0.388,7,-9.464,1,0.0259,0.731,0.0,0.306,0.504,107.951,audio_features,3eTYeAOll7LaINGjv9Fnvi,spotify:track:3eTYeAOll7LaINGjv9Fnvi,144867,4,Please Help Me I'm Falling,Please Help Me I'm Falling,Hank Locklin,please help me im falling,hank locklin,47,1996-01-01,False,46
0.524,0.328,3,-10.231,1,0.043,0.799,1.21e-06,0.176,0.598,127.584,audio_features,56WbM9hcHCdvXewN8a3KI1,spotify:track:56WbM9hcHCdvXewN8a3KI1,203749,4,Love You So,Love You So / My Babe,Ron Holden,love you so,ron holden,15,1959,False,47
0.636,0.751,4,-3.4,1,0.0253,0.123,0.0,0.0298,0.912,79.856,audio_features,6Gfj6FtqMdMLKKp1bLgVaT,spotify:track:6Gfj6FtqMdMLKKp1bLgVaT,113067,4,Finger Poppin' Time,Hits of Jump Blues,Hank Ballard,finger poppin time,hank ballard,19,2013-08-23,False,48
0.31,0.412,10,-12.372,0,0.0441,0.871,0.00071,0.344,0.268,80.391,audio_features,21PolqYPxLTDY6tqVGuqwP,spotify:track:21PolqYPxLTDY6tqVGuqwP,190240,4,Harbor Lights,The Very Best Of The Platters,The Platters,harbor lights,the platters,27,1991-01-01,False,49
0.583,0.532,5,-9.449,1,0.0784,0.238,0.0,0.36,0.962,143.872,audio_features,3ClUZFkkKgXjp3XERlQFdd,spotify:track:3ClUZFkkKgXjp3XERlQFdd,143040,4,Let the Little Girl Dance,Let the Little Girl Sing,Billy Bland,let the little girl dance,billy bland,20,2012-08-08,False,50
0.354,0.179,10,-9.088,1,0.0355,0.953,2.54e-06,0.114,0.427,166.375,audio_features,4OgCE8bmGO7eatG3OuBEju,spotify:track:4OgCE8bmGO7eatG3OuBEju,164440,3,He'll Have To Stay,Lost Hits Of The 60's (All Original Artists & Versions),Jeanne Black,hell have to stay,jeanne black,34,2010-01-01,False,51
0.547,0.206,5,-15.097,1,0.046,0.987,0.891,0.253,0.0752,93.312,audio_features,36MVVnW3XEWFtD8tbZGIo3,spotify:track:36MVVnW3XEWFtD8tbZGIo3,189639,4,"Theme From ""The Apartment""",The Ferrante & Teicher Collection,Ferrante & Teicher,theme from the apartment,ferrante and teicher,11,1998-01-01,False,52
0.498,0.648,9,-6.355,0,0.0339,0.596,0.0,0.094,0.904,130.014,audio_features,5j8N5O7ZOOGtGFFdiqN1si,spotify:track:5j8N5O7ZOOGtGFFdiqN1si,146067,4,Volare,Swingin' 60's,Bobby Rydell,volare,bobby rydell,24,2021-10-01,False,53
0.285,0.199,10,-16.101,1,0.0328,0.72,0.0,0.254,0.454,102.838,audio_features,2HWaoy5exkRIulp61fOvQj,spotify:track:2HWaoy5exkRIulp61fOvQj,152360,3,A Million To One,Goldisc Records From The Vault Volume 1,Jimmy Charles,a million to one,jimmy charles,24,2006-02-13,False,54
0.173,0.266,8,-10.398,1,0.03,0.855,0.0,0.113,0.257,86.682,audio_features,076MbdGIiRAfHrGuXXPmkz,spotify:track:076MbdGIiRAfHrGuXXPmkz,201427,3,The Village of St. Bernadette - 1959 #7 Billboard chart hit,Andy Williams' Best,Andy Williams,the village of st bernadette,andy williams,10,1959,False,55
0.895,0.608,0,-7.224,1,0.0391,0.558,0.14,0.0659,0.96,117.705,audio_features,7IS9MwiLJp91PEyoUDazqb,spotify:track:7IS9MwiLJp91PEyoUDazqb,154427,4,White Silver Sands,Saxy Jazz,Bill Black's Combo,white silver sands,bill blacks combo,20,2014,False,56
0.604,0.105,2,-16.78,1,0.0357,0.977,0.0,0.0993,0.553,92.238,audio_features,0gssZyDIxrn2CsokEML0xq,spotify:track:0gssZyDIxrn2CsokEML0xq,141120,4,The Old Lamplighter,The Complete Pop & Country Hits,The Browns,the old lamplighter,the browns,38,2013-08-02,False,57
0.409,0.258,5,-15.453,1,0.0438,0.82,0.0,0.157,0.639,78.272,audio_features,0yj7xWnhRMWGb3beZ801oJ,spotify:track:0yj7xWnhRMWGb3beZ801oJ,140040,3,Devil Or Angel - Remastered,The Legendary Masters Series,Bobby Vee,devil or angel,bobby vee,20,2011-01-01,False,58
0.754,0.442,3,-15.178,1,0.0403,0.324,0.0,0.0634,0.971,118.641,audio_features,3kpuidZaDOsLP3YgFi8sxu,spotify:track:3kpuidZaDOsLP3YgFi8sxu,172067,4,Down By the Station,Down By the Station,The Four Preps,down by the station,the four preps,27,2007-11-27,False,59
0.519,0.45,5,-9.133,1,0.0244,0.281,6.12e-06,0.152,0.549,72.115,audio_features,5rWyKJMaTXL0TArnJ8IGts,spotify:track:5rWyKJMaTXL0TArnJ8IGts,143161,4,Forever - Single Version,Forever,The Little Dippers,forever,the little dippers,62,1968-06-08,False,60
0.492,0.44,2,-5.995,1,0.0253,0.471,0.0,0.0621,0.433,94.117,audio_features,0CnVgVNnOjgny4CitkbwO4,spotify:track:0CnVgVNnOjgny4CitkbwO4,154947,3,Image of a Girl,"They All Sang on the Corner, Vol. 2",The Safaris,image of a girl,the safaris,7,2019-07-09,False,61
0.778,0.29,3,-12.873,1,0.0625,0.838,0.00053,0.21,0.768,112.047,audio_features,7l9RNVHHVgG7mMqnRoEcjL,spotify:track:7l9RNVHHVgG7mMqnRoEcjL,152307,4,Kiddio - Rerecorded,Brook Benton,Brook Benton,kiddio,brook benton,15,2009-01-01,False,62
0.58,0.632,9,-5.459,1,0.0295,0.75,6.38e-06,0.127,0.873,80.131,audio_features,3ARmrLXbvWTAcXPgPsD51Y,spotify:track:3ARmrLXbvWTAcXPgPsD51Y,146680,4,Mission Bell,Mission Bell: the Very Best of Donnie Brooks,Donnie Brooks,mission bell,donnie brooks,14,2011-01-04,False,63
0.716,0.83,9,-6.26,1,0.0893,0.389,0.0,0.205,0.882,134.718,audio_features,5fKtOWJBrfgp0XNxbGs2rt,spotify:track:5fKtOWJBrfgp0XNxbGs2rt,159893,4,I Love The Way You Love,More Marvelous Marv Johnson,Marv Johnson,i love the way you love,marv johnson,22,1960-10-01,False,64
0.429,0.39,3,-10.16,1,0.0288,0.798,0.000124,0.383,0.529,110.431,audio_features,40piQ7HbvKynhXmDhWyx6k,spotify:track:40piQ7HbvKynhXmDhWyx6k,146667,3,It's Time To Cry - Remastered,Paul Anka Sings His Big 15 (Remastered),Paul Anka,its time to cry,paul anka,27,1959-01-02,False,65
0.528,0.394,10,-11.235,1,0.0368,0.751,0.0,0.173,0.297,102.898,audio_features,1EwpgXlVIzs1E7XBZoRVQl,spotify:track:1EwpgXlVIzs1E7XBZoRVQl,174693,4,Tell Laura I Love Her,Nipper's Greatests Hits 60's Vol. 1,Ray Peterson,tell laura i love her,ray peterson,37,1999-11-09,False,66
0.156,0.211,0,-12.611,1,0.0381,0.96,0.00566,0.549,0.112,61.037,audio_features,1FoY8DNWeyTthMNd5jL50s,spotify:track:1FoY8DNWeyTthMNd5jL50s,235893,4,Mama - Single Version,Gold,Connie Francis,mama,connie francis,18,2005-06-14,False,67
0.641,0.468,2,-12.33,0,0.034,0.419,0.0,0.317,0.913,144.387,audio_features,2z1mnBJRjXUpD2RFXRBm2p,spotify:track:2z1mnBJRjXUpD2RFXRBm2p,134627,4,Footsteps,The Best Of,Steve Lawrence,footsteps,steve lawrence,43,1961-01-01,False,68
0.499,0.232,4,-14.933,1,0.0286,0.579,0.0,0.654,0.389,102.552,audio_features,4FenE7JkpVmMoABV1yXtus,spotify:track:4FenE7JkpVmMoABV1yXtus,154293,4,So Sad (To Watch Good Love Go Bad) - 2022 Remaster,Hey Doll Baby,The Everly Brothers,so sad,the everly brothers,17,2022-06-17,False,69
0.671,0.373,1,-14.34,1,0.0347,0.704,6.64e-06,0.241,0.949,97.151,audio_features,2wHDFhTFYBeO5z8gWjHnQS,spotify:track:2wHDFhTFYBeO5z8gWjHnQS,148533,4,That's All You Gotta Do,The Definitive Collection,Brenda Lee,thats all you gotta do,brenda lee,6,2006-01-10,False,70
0.606,0.344,1,-9.944,1,0.0403,0.782,0.0,0.132,0.517,80.829,audio_features,5I3hQNKjCwalENrab1SBtt,spotify:track:5I3hQNKjCwalENrab1SBtt,121213,4,Walking To New Orleans - Remastered,Greatest Hits: Walking To New Orleans,Fats Domino,walking to new orleans,fats domino,32,2007-01-01,False,71
0.464,0.447,9,-6.15,1,0.0266,0.464,2.9e-05,0.165,0.466,109.081,audio_features,6EkeTn530FSyUGdoC7ZpoL,spotify:track:6EkeTn530FSyUGdoC7ZpoL,151693,3,Among My Souvenirs,The Ultimate Collection,Connie Francis,among my souvenirs,connie francis,33,2003-01-01,False,72
0.571,0.526,5,-8.598,1,0.0394,0.819,7.14e-05,0.275,0.962,150.414,audio_features,1mXGqQ1G4WtXUw236zS6Zo,spotify:track:1mXGqQ1G4WtXUw236zS6Zo,130273,3,Swingin' School,Classics by Bobby Rydell,Bobby Rydell,swingin school,bobby rydell,0,2017-04-24,False,73
0.788,0.52,3,-10.837,1,0.0528,0.845,2.94e-05,0.178,0.96,130.224,audio_features,4ydSzWwxqtNdP4VPfQe8bf,spotify:track:4ydSzWwxqtNdP4VPfQe8bf,148227,4,A Rockin' Good Way (To Mess Around And Fall In Love),The Two Of Us,Dinah Washington,a rockin good way to mess around and fall in love,dinah washington,46,1960-07-05,False,74
